country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Afghanistan,318000,298000,,,88300,,304000,203000,288000,,,364000,627000,586000,262000,246000,272000
Algeria,152,229,106,84,206,107,221,197,,701,541,435,307,,,,
Angola,244000,1140000,783000,723000,667000,157000,,893000,1170000,1470000,1640000,1250000,1860000,3250000,2490000,2330000,2280000
Argentina,1660,803,643,758,948,1070,2050,592,339,222,440,215,125,122,115,259,209
Armenia,0,0,0,0,196,502,347,841,1160,616,141,79,52,29,47,7,0
Azerbaijan,24,113,27,23,667,2840,13100,9910,5180,2320,1530,1060,506,482,386,242,143
Bangladesh,53900,63600,116000,125000,167000,153000,101000,68600,60000,63700,60400,362000,307000,492000,216000,191000,362000
Belize,3030,3320,5340,8590,9960,9410,6610,4010,2610,1850,1490,1100,928,,1060,1580,828
Benin,92900,119000,291000,403000,547000,579000,623000,671000,650000,709000,707000,717000,783000,819000,853000,804000,862000
Bhutan,9500,22100,28900,28100,39900,23200,15700,9030,7690,12200,5940,10200,7210,4040,3030,1950,1990
Bolivia,19700,19000,24500,27500,34800,46900,64000,51500,73900,50000,31500,123000,138000,158000,163000,202000,209000
Botswana,10800,14400,5000,55300,29600,17600,80000,102000,59700,72600,71400,48200,28900,237000,22400,11200,19000
Brazil,560000,614000,610000,466000,564000,566000,455000,393000,472000,610000,611000,388000,348000,409000,465000,603000,549000
Burkina Faso,497000,449000,420000,502000,472000,501000,583000,673000,722000,868000,1030000,353000,1190000,1440000,1550000,1620000,2060000
Burundi,92900,569000,774000,828000,832000,933000,974000,671000,687000,1940000,3060000,3370000,2650000,2260000,1750000,2360000,2160000
Cambodia,124000,103000,91000,99200,85000,76900,74900,88000,58900,64700,62400,110000,100000,120000,91900,67000,89100
Cameroon,869000,788000,664000,479000,189000,784000,931000,788000,664000,,,,,,,277000,635000
Cape Verde,69,80,38,44,21,127,77,20,41,29,,15,2,6,4,7,7
Central African Republic,174000,125000,89900,82100,82100,101000,95300,99700,106000,128000,89600,123000,,78100,129000,132000,114000
Chad,213000,246000,229000,235000,278000,294000,278000,343000,395000,393000,369000,414000,463000,463000,395000,398000,400000
China,117000,102000,74000,59000,62000,47100,33400,26800,27100,26800,18600,26900,172000,170000,146000,100000,116000
Colombia,99500,184000,184000,129000,127000,187000,136000,181000,186000,66800,108000,206000,196000,165000,117000,118000,120000
Comoros,,,,12000,13900,15700,15500,,3840,9790,,3720,,,43900,29600,54800
"Congo, Dem. Rep.",,,,,,,198000,,141000,1510000,965000,2200000,,4390000,,,5010000
"Congo, Rep.",32400,32400,21100,15500,36000,28000,14000,9490,17100,,,,,,,,158000
Costa Rica,1150,3270,6950,5030,4450,4520,5480,4710,5150,4000,1880,1360,1020,718,1290,3540,2900
Cote d'Ivoire,512000,467000,554000,421000,,756000,1110000,983000,,,1490000,1190000,1110000,1140000,1280000,1280000,1250000
Djibouti,3240,7340,7470,4170,6140,5980,6110,4310,5920,6140,4670,4310,5020,5040,2140,2590,7710
Dominican Republic,356,377,698,987,1670,1810,1410,816,2010,3590,1220,1040,1300,1300,2360,3840,3530
Ecuador,71700,59400,41100,46900,30000,18100,11900,16400,43700,87600,98600,109000,86800,52100,28700,17100,9860
Egypt,75,24,16,17,527,322,25,11,13,61,17,11,10,45,43,23,29
El Salvador,9270,5930,4540,3890,2800,3360,5890,2720,1180,1230,745,362,117,84,112,66,44
Equatorial Guinea,25600,22600,25100,17900,14800,12500,,,,,,,,,,,
Eritrea,,,,,,81200,130000,,255000,147000,119000,126000,74900,65500,27800,24200,10200
Ethiopia,,,206000,306000,359000,413000,478000,510000,605000,648000,383000,2260000,2520000,3140000,5710000,3360000,3760000
Gabon,57500,80300,101000,70900,82200,54900,74300,57500,80300,,,97000,,,,100000,118000
Gambia,223000,215000,188000,,300000,136000,266000,326000,,128000,,,,,,162000,266000
Georgia,1,2,1,0,1,1,7,1,16,51,245,439,472,315,256,155,60
Ghana,1440000,1370000,1450000,1700000,1670000,1930000,2190000,2230000,1750000,2900000,3350000,3050000,3140000,3550000,3420000,3450000,3510000
Guatemala,41700,57800,57600,41900,22100,24200,20300,32100,47700,45100,53300,35800,35500,31100,28900,39600,31100
Guinea,21800,17700,,,608000,600000,773000,802000,818000,808000,,852000,850000,732000,877000,850000,835000
Guinea-Bissau,81800,64100,56100,159000,,197000,6460,10600,2110,198000,246000,246000,202000,195000,162000,186000,149000
Guyana,22700,42200,39700,33200,39600,59300,,32100,41200,27300,24000,27100,21900,27600,28900,39000,21000
Haiti,4810,25500,13500,853,23100,,18900,,34500,1200,16900,9840,,9840,10800,21800,32700
Honduras,53100,73400,70800,44500,52100,59500,74500,65900,43000,46700,35100,24200,17200,14100,17300,16000,11600
India,2020000,2120000,2130000,2210000,2510000,2990000,3040000,2660000,2220000,2290000,2030000,2090000,1840000,1870000,1920000,1820000,1790000
Indonesia,172000,132000,103000,136000,146000,123000,180000,161000,160000,,101000,1400000,1490000,1480000,1500000,1790000,1330000
Iran,77500,96300,77000,64600,51100,67500,56400,38700,33000,23100,19700,19300,15600,23600,13800,19000,15900
Iraq,3920,1760,5750,49900,98200,98700,49800,14000,9680,4140,1860,1270,952,347,155,47,24
Jamaica,,,,,,,,,,,,,,,,,382
Kenya,,,,,6100000,4340000,3780000,,80700,123000,74200,3260000,3320000,5090000,7550000,9180000,7960000
Kyrgyz Republic,1,1,2,0,6,3,26,13,11,5,12,28,2740,468,93,226,320
Lao,22000,41100,38500,41800,52600,52000,77900,72200,39000,28100,40000,104000,85200,88700,53800,30400,20500
Liberia,,,,,,,240000,826000,778000,,,,,,,117000,1110000
Madagascar,,,,,,196000,,,,1140000,,1360000,1600000,2200000,1460000,1230000,1010000
Malawi,3870000,,,4690000,4740000,,6180000,2760000,2990000,4190000,3780000,3820000,2780000,3360000,2870000,3690000,4200000
Malaysia,50500,39200,36900,39900,59000,59200,51900,26700,13500,11100,12700,12800,11000,6340,6150,5570,5290
Mali,249000,282000,281000,296000,263000,95400,29800,385000,12200,530000,547000,613000,723000,809000,1970000,963000,1020000
Mauritania,26900,42100,45700,43900,156000,215000,181000,190000,168000,254000,259000,244000,225000,318000,225000,224000,188000
Mauritius,54,48,66,54,65,46,82,65,52,73,62,61,,,,,
Mexico,44500,26600,16200,15800,12900,7330,6290,4810,25000,13500,7360,4900,4620,3820,3410,2970,
Morocco,837,494,405,198,206,197,102,125,121,60,59,59,107,73,56,100,83
Mozambique,,,,,,,12800,,194000,2340000,3280000,3950000,4590000,4860000,5610000,5900000,6340000
Myanmar,989000,939000,790000,702000,701000,657000,665000,568000,548000,121000,,574000,722000,717000,603000,506000,475000
Namibia,,,,381000,402000,275000,345000,391000,353000,430000,519000,539000,446000,468000,611000,339000,266000
Nepal,22900,29100,23200,16400,9440,9720,6630,8960,8500,9700,7620,146000,133000,197000,141000,178000,155000
Nicaragua,35800,27700,26900,44000,41500,69400,75600,42800,33900,38700,24000,10500,7700,6720,6900,6640,3110
Niger,1160000,809000,866000,727000,806000,778000,1160000,979000,873000,816000,647000,1340000,888000,682000,761000,818000,887000
Nigeria,1120000,910000,1220000,982000,1180000,1130000,1150000,1150000,2120000,1970000,2480000,2250000,2610000,2610000,3310000,3530000,3980000
North Korea,,,,,,,,,1090,7980,73700,297000,241000,60600,33800,11500,9350
Oman,32700,19300,14800,16900,7220,1800,1270,1030,1090,901,694,635,590,740,615,544,443
Pakistan,79700,66600,99000,92600,109000,112000,98000,77500,73500,91800,82500,125000,108000,125000,127000,128000,125000
Panama,381,1120,727,481,684,730,476,505,1040,936,1040,928,2200,4480,5100,3670,1660
Papua New Guinea,105000,86500,86500,66800,65000,99000,71000,38100,20900,18600,81200,1640000,1590000,1650000,1870000,1790000,1680000
Paraguay,2910,2980,1290,436,583,898,637,567,2090,9950,6850,2710,2780,1390,694,376,823
Peru,28900,33700,54900,95200,122000,193000,208000,184000,247000,167000,69700,79500,85700,79500,93600,,
Philippines,86200,86400,95800,64900,62000,56900,40500,42000,50700,37100,36600,34800,37000,48400,50900,46500,35100
Russia,216,169,160,209,335,425,611,831,1080,792,795,898,642,,,,
Rwanda,1280000,1330000,1370000,733000,372000,1390000,1150000,1330000,1280000,907000,,998000,1070000,1210000,1290000,1640000,1420000
Sao Tome and Principe,,,,,,51900,47100,47800,46000,37000,43500,44000,51000,47800,53900,22400,7290
Saudi Arabia,15700,9960,19600,18400,10000,18800,21000,20600,40800,13200,6610,3070,2610,1720,1230,1060,1280
Senegal,,,,,450000,629000,,861000,949000,1150000,1120000,932000,961000,1410000,1200000,1350000,1560000
Sierra Leone,,,,,,,7190,209000,250000,410000,,448000,507000,525000,356000,234000,161000
Solomon Islands,117000,141000,153000,126000,132000,119000,84800,68100,72800,63200,67900,76400,74900,90600,90300,76400,75300
Somalia,,,,3050,,,,,,9060,10400,10400,96900,23400,36700,28500,49300
South Africa,6820,4690,2870,13300,10300,8750,27000,23100,26400,51400,64600,26500,15700,13500,13400,7760,12100
South Korea,0,0,0,1,20,107,396,1720,3990,3620,4140,2560,1800,1170,864,1370,2050
Sri Lanka,287000,400000,399000,327000,273000,142000,184000,219000,212000,,210000,66500,41400,10500,3720,1640,591
Sudan,7510000,6950000,9330000,9870000,8560000,6350000,4600000,4070000,5060000,4220000,4330000,4220000,3520000,3730000,2600000,2850000,2230000
Suriname,1610,1490,1400,,4700,6610,16700,11300,12400,13900,13100,17100,13100,14700,8190,8740,3630
Swaziland,,,,,,,38900,23800,4410,30400,45600,18800,14900,11500,9490,8880,3760
Syria,107,54,456,966,583,626,345,130,60,43,42,79,27,24,13,28,34
Tajikistan,175,294,404,619,2410,6100,16600,29800,19400,13500,19100,11400,6160,5430,1800,1400,776
Tanzania,10700000,8720000,7680000,8780000,7980000,2440000,4970000,1130000,30500000,424000,,325000,369000,11400000,11900000,11400000,10600000
Thailand,274000,198000,168000,115000,102000,82700,87600,97500,131000,125000,81700,63500,44600,37400,26700,29800,30300
Togo,811000,781000,634000,561000,329000,,352000,367000,369000,413000,398000,499000,584000,490000,517000,438000,566000
Turkey,8680,12200,18700,47200,84300,82100,60900,35500,36800,21000,11400,10800,10200,9210,5290,2050,767
Turkmenistan,1,17,11,3,9,10,14,14,137,49,24,5,8,7,3,1,0
Uganda,,,2450000,1470000,2190000,1430000,,2320000,2850000,3070000,,9000000,9800000,11000000,12000000,16000000,12800000
Uzbekistan,28,12,25,36,21,27,51,52,74,85,126,77,74,74,66,102,76
Vanuatu,28800,19500,13300,10500,3770,8320,5650,6100,6180,5150,6770,18900,34200,42900,39700,32300,21200
Venezuela,46900,43500,21400,12500,13700,16400,18900,22400,21900,19100,29700,29500,29500,31700,46700,45100,37100
Vietnam,124000,188000,226000,156000,140000,100000,84600,65900,72100,75100,74300,188000,185000,164000,128000,99100,91400
Yemen,11400,12700,29300,31300,37200,500000,416000,1390000,,2780000,1390000,108000,187000,175000,159000,201000,217000
Zambia,1930000,2340000,2950000,3510000,3510000,2740000,3220000,,3400000,3390000,3600000,3840000,3760000,4350000,4080000,4120000,4730000
Zimbabwe,663000,581000,420000,878000,324000,762000,1700000,1850000,1720000,1800000,1530000,681000,1350000,1820000,1820000,1500000,1540000
